,,object_color,object_name,placement,undefined_object,micro avg,macro avg,weighted avg,pipeline,split
1,precision,1.0,1.0,1.0,1.0,1.0,1.0,1.0,custom,0
1,recall,1.0,0.993150684931506,1.0,1.0,0.9968553459119491,0.9982876712328761,0.9968553459119491,custom,0
1,f1-score,1.0,0.9965635738831611,1.0,1.0,0.9984251968503931,0.99914089347079,0.998422269770256,custom,0
2,precision,1.0,1.0,1.0,1.0,1.0,1.0,1.0,custom,0
2,recall,1.0,1.0,1.0,1.0,1.0,1.0,1.0,custom,0
2,f1-score,1.0,1.0,1.0,1.0,1.0,1.0,1.0,custom,0
3,precision,1.0,1.0,1.0,1.0,1.0,1.0,1.0,custom,0
3,recall,1.0,1.0,1.0,1.0,1.0,1.0,1.0,custom,0
3,f1-score,1.0,1.0,1.0,1.0,1.0,1.0,1.0,custom,0
1,precision,1.0,0.9931972789115641,1.0,1.0,0.996865203761755,0.9982993197278911,0.99687673811663,custom,10
1,recall,1.0,1.0,1.0,1.0,1.0,1.0,1.0,custom,10
1,f1-score,1.0,0.996587030716723,1.0,1.0,0.998430141287284,0.99914675767918,0.998433039259879,custom,10
2,precision,0.9896907216494841,1.0,1.0,1.0,0.996904024767801,0.997422680412371,0.9969359420382361,custom,10
2,recall,1.0,0.993150684931506,1.0,1.0,0.996904024767801,0.9982876712328761,0.996904024767801,custom,10
2,f1-score,0.99481865284974,0.9965635738831611,1.0,1.0,0.996904024767801,0.997845556683225,0.9969067258839521,custom,10
3,precision,0.989795918367346,1.0,1.0,1.0,0.996960486322188,0.9974489795918361,0.9970096800049321,custom,10
3,recall,1.0,0.979729729729729,1.0,1.0,0.9909365558912381,0.9949324324324321,0.9909365558912381,custom,10
3,f1-score,0.9948717948717941,0.98976109215017,1.0,1.0,0.9939393939393931,0.9961582217554911,0.9939190505764031,custom,10
1,precision,1.0,1.0,0.984375,1.0,0.9968354430379741,0.99609375,0.9969044811320751,custom,20
1,recall,1.0,0.97945205479452,1.0,1.0,0.9905660377358491,0.9948630136986301,0.9905660377358491,custom,20
1,f1-score,1.0,0.989619377162629,0.9921259842519681,1.0,0.993690851735015,0.995436340353649,0.993674107149742,custom,20
2,precision,0.9896907216494841,1.0,1.0,1.0,0.996904024767801,0.997422680412371,0.9969359420382361,custom,20
2,recall,1.0,0.993150684931506,1.0,1.0,0.996904024767801,0.9982876712328761,0.996904024767801,custom,20
2,f1-score,0.99481865284974,0.9965635738831611,1.0,1.0,0.996904024767801,0.997845556683225,0.9969067258839521,custom,20
3,precision,1.0,1.0,1.0,1.0,1.0,1.0,1.0,custom,20
3,recall,1.0,0.9932432432432431,1.0,1.0,0.996978851963746,0.9983108108108101,0.996978851963746,custom,20
3,f1-score,1.0,0.996610169491525,1.0,1.0,0.998487140695915,0.9991525423728811,0.9984843053919811,custom,20
1,precision,1.0,1.0,0.984375,1.0,0.9968051118210861,0.99609375,0.9969044811320751,custom,30
1,recall,1.0,0.9726027397260271,1.0,0.818181818181818,0.9811320754716981,0.9476961394769611,0.9811320754716981,custom,30
1,f1-score,1.0,0.986111111111111,0.9921259842519681,0.9,0.9889064976228201,0.9695592738407691,0.9886042743084781,custom,30
2,precision,0.9896907216494841,1.0,1.0,1.0,0.996894409937888,0.997422680412371,0.9969359420382361,custom,30
2,recall,1.0,0.9863013698630131,1.0,1.0,0.9938080495356031,0.9965753424657531,0.9938080495356031,custom,30
2,f1-score,0.99481865284974,0.993103448275862,1.0,1.0,0.9953488372093021,0.9969805252814001,0.9953427062596001,custom,30
3,precision,1.0,1.0,1.0,1.0,1.0,1.0,1.0,custom,30
3,recall,1.0,0.9864864864864861,1.0,1.0,0.993957703927492,0.996621621621621,0.993957703927492,custom,30
3,f1-score,1.0,0.9931972789115641,1.0,1.0,0.9969696969696971,0.9982993197278911,0.996958299936288,custom,30
1,precision,1.0,0.993006993006993,0.984375,1.0,0.9935897435897431,0.9943454982517481,0.99369385527994,custom,40
1,recall,1.0,0.9726027397260271,1.0,0.636363636363636,0.974842767295597,0.9022415940224151,0.974842767295597,custom,40
1,f1-score,1.0,0.9826989619377161,0.9921259842519681,0.777777777777777,0.9841269841269841,0.938150680991865,0.9828098773784151,custom,40
2,precision,1.0,1.0,1.0,1.0,1.0,1.0,1.0,custom,40
2,recall,1.0,0.993150684931506,1.0,0.833333333333333,0.9907120743034051,0.95662100456621,0.9907120743034051,custom,40
2,f1-score,1.0,0.9965635738831611,1.0,0.9090909090909091,0.9953343701399691,0.9764136207435171,0.995069265312794,custom,40
3,precision,0.9896907216494841,0.993150684931506,1.0,1.0,0.9938650306748461,0.9957103516452471,0.9939163183379541,custom,40
3,recall,0.9896907216494841,0.979729729729729,1.0,0.785714285714285,0.9788519637462231,0.9387836842733751,0.9788519637462231,custom,40
3,f1-score,0.9896907216494841,0.9863945578231291,1.0,0.88,0.9863013698630131,0.9640213198681531,0.9858199231354171,custom,40
1,precision,1.0,1.0,0.9687500000000001,0.8888888888888881,0.9903536977491961,0.9644097222222221,0.9899654961565331,custom,50
1,recall,1.0,0.958904109589041,0.9841269841269841,0.7272727272727271,0.9685534591194961,0.917575955247188,0.9685534591194961,custom,50
1,f1-score,1.0,0.9790209790209791,0.9763779527559051,0.799999999999999,0.97933227344992,0.938849732944221,0.9787700439015251,custom,50
2,precision,1.0,0.993150684931506,1.0,1.0,0.9968454258675071,0.9982876712328761,0.996904024767801,custom,50
2,recall,0.9791666666666661,0.993150684931506,1.0,0.6666666666666661,0.9783281733746131,0.90974600456621,0.9783281733746131,custom,50
2,f1-score,0.9894736842105261,0.993150684931506,1.0,0.8,0.987499999999999,0.9456560922855081,0.9863451197653571,custom,50
3,precision,1.0,0.9931972789115641,1.0,1.0,0.996923076923076,0.9982993197278911,0.996958299936288,custom,50
3,recall,0.9896907216494841,0.9864864864864861,1.0,0.7142857142857141,0.9788519637462231,0.9226157306054211,0.9788519637462231,custom,50
3,f1-score,0.99481865284974,0.9898305084745761,1.0,0.833333333333333,0.98780487804878,0.9544956236644121,0.9868851699315071,custom,50
1,precision,0.9687500000000001,0.9857142857142851,1.0,1.0,0.9835526315789471,0.9886160714285711,0.9838106469002691,custom,60
1,recall,0.9489795918367341,0.945205479452054,1.0,0.45454545454545403,0.940251572327044,0.8371826314585611,0.940251572327044,custom,60
1,f1-score,0.9587628865979381,0.9650349650349651,1.0,0.625,0.9614147909967841,0.887199462908225,0.958266879816675,custom,60
2,precision,1.0,0.9225806451612901,1.0,1.0,0.9616613418530351,0.9806451612903221,0.965005492859282,custom,60
2,recall,0.9062500000000001,0.97945205479452,1.0,0.16666666666666602,0.9318885448916401,0.763092180365296,0.9318885448916401,custom,60
2,f1-score,0.950819672131147,0.9501661129568101,1.0,0.28571428571428503,0.9465408805031441,0.79667501770056,0.9363204719654981,custom,60
3,precision,0.969072164948453,0.9854014598540141,1.0,0.6923076923076921,0.9717868338557991,0.91169532927754,0.9713949358027241,custom,60
3,recall,0.969072164948453,0.9121621621621621,1.0,0.642857142857142,0.9365558912386701,0.881022867491939,0.9365558912386701,custom,60
3,f1-score,0.969072164948453,0.9473684210526311,1.0,0.6666666666666661,0.9538461538461531,0.895776813166937,0.9533047119308841,custom,60
1,precision,0.9574468085106381,0.9534883720930231,0.983870967741935,1.0,0.9615384615384611,0.9737015370863991,0.9623363538596411,custom,70
1,recall,0.9183673469387751,0.842465753424657,0.968253968253968,0.09090909090909001,0.8647798742138361,0.704999039881623,0.8647798742138361,custom,70
1,f1-score,0.9375000000000001,0.8945454545454541,0.976,0.16666666666666602,0.9105960264900661,0.74367803030303,0.898742043072231,custom,70
2,precision,1.0,0.9084507042253521,1.0,1.0,0.9559322033898301,0.9771126760563381,0.9586185845724501,custom,70
2,recall,0.895833333333333,0.8835616438356161,0.9420289855072461,0.16666666666666602,0.873065015479876,0.722022657335715,0.873065015479876,custom,70
2,f1-score,0.945054945054945,0.895833333333333,0.9701492537313431,0.28571428571428503,0.9126213592233011,0.7741879544584761,0.903671242501472,custom,70
3,precision,0.9418604651162791,0.96,1.0,0.6666666666666661,0.957597173144876,0.892131782945736,0.9509782430501881,custom,70
3,recall,0.835051546391752,0.8108108108108101,0.9166666666666661,0.28571428571428503,0.818731117824773,0.7120608273958791,0.818731117824773,custom,70
3,f1-score,0.885245901639344,0.8791208791208791,0.956521739130434,0.4,0.882736156351791,0.780222129972664,0.8774873347018061,custom,70
1,precision,0.9775280898876401,0.9772727272727271,0.984375,0.9166666666666661,0.9762845849802371,0.963960620956758,0.976479374148791,mitie,0
1,recall,0.9886363636363631,1.0,1.0,1.0,0.9959677419354831,0.99715909090909,0.9959677419354831,mitie,0
1,f1-score,0.983050847457627,0.9885057471264361,0.9921259842519681,0.956521739130434,0.9860279441117761,0.9800510794916161,0.9860711490623121,mitie,0
2,precision,1.0,0.9887640449438201,1.0,1.0,0.996078431372549,0.9971910112359551,0.996107228169512,mitie,0
2,recall,1.0,1.0,1.0,1.0,1.0,1.0,1.0,mitie,0
2,f1-score,1.0,0.9943502824858751,1.0,1.0,0.9980353634577601,0.9985875706214681,0.9980426175541611,mitie,0
3,precision,0.9886363636363631,0.9883720930232551,1.0,0.9333333333333331,0.9885057471264361,0.9775854474982381,0.988719284068121,mitie,0
3,recall,0.9886363636363631,1.0,1.0,1.0,0.996138996138996,0.99715909090909,0.996138996138996,mitie,0
3,f1-score,0.9886363636363631,0.9941520467836251,1.0,0.96551724137931,0.9923076923076921,0.9870764129498251,0.9923558507950521,mitie,0
1,precision,0.9775280898876401,0.9772727272727271,0.984375,0.9166666666666661,0.9762845849802371,0.963960620956758,0.976479374148791,mitie,10
1,recall,0.9886363636363631,1.0,1.0,1.0,0.9959677419354831,0.99715909090909,0.9959677419354831,mitie,10
1,f1-score,0.983050847457627,0.9885057471264361,0.9921259842519681,0.956521739130434,0.9860279441117761,0.9800510794916161,0.9860711490623121,mitie,10
2,precision,1.0,0.967032967032967,1.0,1.0,0.98828125,0.9917582417582411,0.9885783507830751,mitie,10
2,recall,0.9882352941176471,1.0,1.0,1.0,0.996062992125984,0.9970588235294111,0.996062992125984,mitie,10
2,f1-score,0.994082840236686,0.9832402234636871,1.0,1.0,0.9921568627450981,0.9943307659250931,0.9922133113579631,mitie,10
3,precision,0.9886363636363631,0.9883720930232551,1.0,0.9333333333333331,0.9885057471264361,0.9775854474982381,0.988719284068121,mitie,10
3,recall,0.9886363636363631,1.0,1.0,1.0,0.996138996138996,0.99715909090909,0.996138996138996,mitie,10
3,f1-score,0.9886363636363631,0.9941520467836251,1.0,0.96551724137931,0.9923076923076921,0.9870764129498251,0.9923558507950521,mitie,10
1,precision,0.9775280898876401,0.96629213483146,0.984375,0.9166666666666661,0.972440944881889,0.961215472846441,0.9726715880602871,mitie,20
1,recall,0.9886363636363631,1.0,1.0,1.0,0.9959677419354831,0.99715909090909,0.9959677419354831,mitie,20
1,f1-score,0.983050847457627,0.9828571428571421,0.9921259842519681,0.956521739130434,0.9840637450199201,0.9786389284242931,0.9841123588721541,mitie,20
2,precision,1.0,0.956521739130434,1.0,1.0,0.984435797665369,0.9891304347826081,0.9849366655255051,mitie,20
2,recall,0.9882352941176471,1.0,1.0,1.0,0.996062992125984,0.9970588235294111,0.996062992125984,mitie,20
2,f1-score,0.994082840236686,0.9777777777777771,1.0,1.0,0.9902152641878671,0.9929651545036161,0.9903208104904041,mitie,20
3,precision,0.9886363636363631,0.9883720930232551,1.0,0.9333333333333331,0.9885057471264361,0.9775854474982381,0.988719284068121,mitie,20
3,recall,0.9886363636363631,1.0,1.0,1.0,0.996138996138996,0.99715909090909,0.996138996138996,mitie,20
3,f1-score,0.9886363636363631,0.9941520467836251,1.0,0.96551724137931,0.9923076923076921,0.9870764129498251,0.9923558507950521,mitie,20
1,precision,0.9777777777777771,0.9247311827956981,0.9402985074626861,0.9166666666666661,0.9465648854961831,0.9398685336757071,0.947151070436923,mitie,30
1,recall,1.0,1.0,1.0,1.0,1.0,1.0,1.0,mitie,30
1,f1-score,0.9887640449438201,0.9608938547486031,0.9692307692307691,0.956521739130434,0.9725490196078431,0.9688526020134071,0.9727071978040691,mitie,30
2,precision,1.0,0.967032967032967,1.0,1.0,0.98828125,0.9917582417582411,0.9885783507830751,mitie,30
2,recall,0.9882352941176471,1.0,1.0,1.0,0.996062992125984,0.9970588235294111,0.996062992125984,mitie,30
2,f1-score,0.994082840236686,0.9832402234636871,1.0,1.0,0.9921568627450981,0.9943307659250931,0.9922133113579631,mitie,30
3,precision,0.9887640449438201,0.9883720930232551,0.972972972972973,0.875,0.9773584905660371,0.956277277735012,0.97809620817022,mitie,30
3,recall,1.0,1.0,1.0,1.0,1.0,1.0,1.0,mitie,30
3,f1-score,0.9943502824858751,0.9941520467836251,0.9863013698630131,0.9333333333333331,0.9885496183206101,0.977034258116462,0.9887494754137791,mitie,30
1,precision,0.956521739130434,0.9239130434782601,0.9,0.846153846153846,0.9250936329588011,0.906647157190635,0.9259601898802461,mitie,40
1,recall,1.0,0.9883720930232551,1.0,1.0,0.9959677419354831,0.9970930232558141,0.9959677419354831,mitie,40
1,f1-score,0.9777777777777771,0.9550561797752801,0.9473684210526311,0.9166666666666661,0.959223300970873,0.949217261318089,0.95946298292245,mitie,40
2,precision,1.0,0.9777777777777771,1.0,1.0,0.9921875,0.9944444444444441,0.9923009623797021,mitie,40
2,recall,1.0,1.0,1.0,1.0,1.0,1.0,1.0,mitie,40
2,f1-score,1.0,0.9887640449438201,1.0,1.0,0.996078431372549,0.9971910112359551,0.996107228169512,mitie,40
3,precision,0.9887640449438201,0.9550561797752801,0.972972972972973,0.777777777777777,0.959259259259259,0.923642743867463,0.9619071589918841,mitie,40
3,recall,1.0,1.0,1.0,1.0,1.0,1.0,1.0,mitie,40
3,f1-score,0.9943502824858751,0.977011494252873,0.9863013698630131,0.8750000000000001,0.9792060491493381,0.95816578665044,0.9799710444030431,mitie,40
1,precision,0.936170212765957,0.923076923076923,0.8873239436619711,0.846153846153846,0.91449814126394,0.8981812314146741,0.9152286083323231,mitie,50
1,recall,1.0,0.976744186046511,1.0,1.0,0.9919354838709671,0.9941860465116271,0.9919354838709671,mitie,50
1,f1-score,0.967032967032967,0.949152542372881,0.9402985074626861,0.9166666666666661,0.95164410058027,0.9432876708838001,0.951807092929239,mitie,50
2,precision,0.9550561797752801,0.9456521739130431,0.9857142857142851,1.0,0.9619771863117871,0.9716056598506521,0.9622498122028831,mitie,50
2,recall,1.0,0.9886363636363631,1.0,1.0,0.996062992125984,0.99715909090909,0.996062992125984,mitie,50
2,f1-score,0.977011494252873,0.9666666666666661,0.992805755395683,1.0,0.9787234042553191,0.984120979078805,0.9788040976396181,mitie,50
3,precision,0.936170212765957,0.9239130434782601,0.972972972972973,0.9090909090909091,0.9409594095940961,0.935536784577025,0.940914726642406,mitie,50
3,recall,1.0,1.0,1.0,0.7142857142857141,0.984555984555984,0.928571428571428,0.984555984555984,mitie,50
3,f1-score,0.967032967032967,0.96045197740113,0.9863013698630131,0.8,0.9622641509433961,0.928446578574277,0.961200840958046,mitie,50
1,precision,0.8,0.9638554216867471,0.9130434782608691,0.8888888888888881,0.881918819188191,0.8914469472091261,0.8894801740857771,mitie,60
1,recall,1.0,0.9302325581395341,1.0,0.7272727272727271,0.9637096774193541,0.9143763213530651,0.9637096774193541,mitie,60
1,f1-score,0.8888888888888891,0.946745562130177,0.954545454545454,0.799999999999999,0.9210019267822731,0.8975449763911301,0.9216883233942781,mitie,60
2,precision,0.9166666666666661,0.752136752136752,0.9857142857142851,1.0,0.864963503649635,0.9136294261294261,0.882358214838529,mitie,60
2,recall,0.905882352941176,1.0,1.0,0.25,0.9330708661417321,0.7889705882352941,0.9330708661417321,mitie,60
2,f1-score,0.9112426035502951,0.8585365853658531,0.992805755395683,0.4,0.897727272727272,0.790646236077958,0.8909859761270561,mitie,60
3,precision,0.87,0.8762886597938141,0.972972972972973,0.9090909090909091,0.9007092198581561,0.907088135464424,0.9028025593196951,mitie,60
3,recall,0.9886363636363631,1.0,1.0,0.7142857142857141,0.9806949806949801,0.9257305194805191,0.9806949806949801,mitie,60
3,f1-score,0.9255319148936171,0.9340659340659341,0.9863013698630131,0.8,0.939001848428835,0.911474804705641,0.938440585082546,mitie,60
1,precision,0.565217391304347,0.5546875,0.7974683544303791,0.33333333333333304,0.6153846153846151,0.5626766447670151,0.6102799533490451,mitie,70
1,recall,0.7386363636363631,0.825581395348837,1.0,0.09090909090909001,0.8064516129032251,0.6637817124735731,0.8064516129032251,mitie,70
1,f1-score,0.6403940886699501,0.6635514018691581,0.8873239436619711,0.14285714285714202,0.698080279232111,0.5835316442645561,0.689084424942887,mitie,70
