,,object_color,object_name,placement,undefined_object,micro avg,macro avg,weighted avg,pipeline,split
2,precision,0.49673202614379003,0.7222222222222221,0.871794871794871,0.6000000000000001,0.6540697674418601,0.672687280040221,0.6816205666599361,mitie,70
2,recall,0.894117647058823,0.886363636363636,0.9855072463768111,0.25,0.8858267716535431,0.753997132449817,0.8858267716535431,mitie,70
2,f1-score,0.638655462184874,0.7959183673469381,0.92517006802721,0.35294117647058804,0.7525083612040131,0.6781712685074031,0.7574746434006671,mitie,70
3,precision,0.595419847328244,0.752475247524752,0.935064935064935,0.833333333333333,0.7352024922118381,0.7790733408128161,0.7542420254665301,mitie,70
3,recall,0.886363636363636,0.894117647058823,1.0,0.7142857142857141,0.911196911196911,0.8736917494270431,0.911196911196911,mitie,70
3,f1-score,0.7123287671232871,0.8172043010752681,0.966442953020134,0.769230769230769,0.813793103448275,0.816301697612364,0.8204649439572491,mitie,70
1,precision,1.0,1.0,0.984375,0.9166666666666661,0.992,0.9752604166666661,0.9923345094086021,pretrained_embeddings_spacy,0
1,recall,1.0,1.0,1.0,1.0,1.0,1.0,1.0,pretrained_embeddings_spacy,0
1,f1-score,1.0,1.0,0.9921259842519681,0.956521739130434,0.9959839357429711,0.9871619308456001,0.9960712747512451,pretrained_embeddings_spacy,0
2,precision,1.0,1.0,1.0,1.0,1.0,1.0,1.0,pretrained_embeddings_spacy,0
2,recall,1.0,1.0,1.0,1.0,1.0,1.0,1.0,pretrained_embeddings_spacy,0
2,f1-score,1.0,1.0,1.0,1.0,1.0,1.0,1.0,pretrained_embeddings_spacy,0
3,precision,1.0,1.0,1.0,1.0,1.0,1.0,1.0,pretrained_embeddings_spacy,0
3,recall,1.0,1.0,1.0,1.0,1.0,1.0,1.0,pretrained_embeddings_spacy,0
3,f1-score,1.0,1.0,1.0,1.0,1.0,1.0,1.0,pretrained_embeddings_spacy,0
1,precision,1.0,1.0,0.984375,0.9166666666666661,0.992,0.9752604166666661,0.9923345094086021,pretrained_embeddings_spacy,10
1,recall,1.0,1.0,1.0,1.0,1.0,1.0,1.0,pretrained_embeddings_spacy,10
1,f1-score,1.0,1.0,0.9921259842519681,0.956521739130434,0.9959839357429711,0.9871619308456001,0.9960712747512451,pretrained_embeddings_spacy,10
2,precision,1.0,1.0,1.0,1.0,1.0,1.0,1.0,pretrained_embeddings_spacy,10
2,recall,1.0,1.0,1.0,1.0,1.0,1.0,1.0,pretrained_embeddings_spacy,10
2,f1-score,1.0,1.0,1.0,1.0,1.0,1.0,1.0,pretrained_embeddings_spacy,10
3,precision,1.0,1.0,1.0,1.0,1.0,1.0,1.0,pretrained_embeddings_spacy,10
3,recall,1.0,1.0,1.0,1.0,1.0,1.0,1.0,pretrained_embeddings_spacy,10
3,f1-score,1.0,1.0,1.0,1.0,1.0,1.0,1.0,pretrained_embeddings_spacy,10
1,precision,1.0,1.0,0.984375,0.9166666666666661,0.992,0.9752604166666661,0.9923345094086021,pretrained_embeddings_spacy,20
1,recall,1.0,1.0,1.0,1.0,1.0,1.0,1.0,pretrained_embeddings_spacy,20
1,f1-score,1.0,1.0,0.9921259842519681,0.956521739130434,0.9959839357429711,0.9871619308456001,0.9960712747512451,pretrained_embeddings_spacy,20
2,precision,1.0,1.0,1.0,1.0,1.0,1.0,1.0,pretrained_embeddings_spacy,20
2,recall,1.0,1.0,1.0,1.0,1.0,1.0,1.0,pretrained_embeddings_spacy,20
2,f1-score,1.0,1.0,1.0,1.0,1.0,1.0,1.0,pretrained_embeddings_spacy,20
3,precision,1.0,1.0,1.0,1.0,1.0,1.0,1.0,pretrained_embeddings_spacy,20
3,recall,1.0,1.0,1.0,1.0,1.0,1.0,1.0,pretrained_embeddings_spacy,20
3,f1-score,1.0,1.0,1.0,1.0,1.0,1.0,1.0,pretrained_embeddings_spacy,20
1,precision,1.0,1.0,0.954545454545454,1.0,0.98804780876494,0.9886363636363631,0.988453079178885,pretrained_embeddings_spacy,30
1,recall,1.0,1.0,1.0,1.0,1.0,1.0,1.0,pretrained_embeddings_spacy,30
1,f1-score,1.0,1.0,0.976744186046511,1.0,0.993987975951903,0.9941860465116271,0.9940922730682671,pretrained_embeddings_spacy,30
2,precision,1.0,1.0,1.0,1.0,1.0,1.0,1.0,pretrained_embeddings_spacy,30
2,recall,1.0,1.0,1.0,1.0,1.0,1.0,1.0,pretrained_embeddings_spacy,30
2,f1-score,1.0,1.0,1.0,1.0,1.0,1.0,1.0,pretrained_embeddings_spacy,30
3,precision,1.0,1.0,1.0,1.0,1.0,1.0,1.0,pretrained_embeddings_spacy,30
3,recall,1.0,1.0,1.0,1.0,1.0,1.0,1.0,pretrained_embeddings_spacy,30
3,f1-score,1.0,1.0,1.0,1.0,1.0,1.0,1.0,pretrained_embeddings_spacy,30
1,precision,0.9887640449438201,0.9882352941176471,0.954545454545454,1.0,0.9800796812749001,0.9828861984017301,0.9803864309900701,pretrained_embeddings_spacy,40
1,recall,1.0,0.976744186046511,1.0,1.0,0.9919354838709671,0.9941860465116271,0.9919354838709671,pretrained_embeddings_spacy,40
1,f1-score,0.9943502824858751,0.982456140350877,0.976744186046511,1.0,0.9859719438877751,0.988387652220816,0.9860037768139621,pretrained_embeddings_spacy,40
2,precision,1.0,1.0,1.0,1.0,1.0,1.0,1.0,pretrained_embeddings_spacy,40
2,recall,1.0,1.0,1.0,0.75,0.9881889763779521,0.9375,0.9881889763779521,pretrained_embeddings_spacy,40
2,f1-score,1.0,1.0,1.0,0.8571428571428571,0.994059405940594,0.9642857142857141,0.9932508436445441,pretrained_embeddings_spacy,40
3,precision,1.0,1.0,1.0,1.0,1.0,1.0,1.0,pretrained_embeddings_spacy,40
3,recall,1.0,1.0,1.0,0.785714285714285,0.9884169884169881,0.9464285714285711,0.9884169884169881,pretrained_embeddings_spacy,40
3,f1-score,1.0,1.0,1.0,0.88,0.994174757281553,0.97,0.993513513513513,pretrained_embeddings_spacy,40
1,precision,0.9887640449438201,1.0,0.954545454545454,1.0,0.983870967741935,0.9858273748723181,0.984466127384757,pretrained_embeddings_spacy,50
1,recall,1.0,0.9534883720930231,1.0,1.0,0.983870967741935,0.9883720930232551,0.983870967741935,pretrained_embeddings_spacy,50
1,f1-score,0.9943502824858751,0.976190476190476,0.976744186046511,1.0,0.983870967741935,0.986821236180715,0.983831006177694,pretrained_embeddings_spacy,50
2,precision,1.0,0.9540229885057471,1.0,1.0,0.9838056680161941,0.9885057471264361,0.9840709566476601,pretrained_embeddings_spacy,50
2,recall,0.9647058823529411,0.9431818181818181,1.0,0.75,0.9566929133858261,0.914471925133689,0.9566929133858261,pretrained_embeddings_spacy,50
2,f1-score,0.9820359281437121,0.9485714285714281,1.0,0.8571428571428571,0.9700598802395201,0.946937553464499,0.9694214720165961,pretrained_embeddings_spacy,50
3,precision,1.0,1.0,1.0,1.0,1.0,1.0,1.0,pretrained_embeddings_spacy,50
3,recall,1.0,0.9882352941176471,1.0,0.7142857142857141,0.9806949806949801,0.92563025210084,0.9806949806949801,pretrained_embeddings_spacy,50
3,f1-score,1.0,0.994082840236686,1.0,0.833333333333333,0.990253411306042,0.9568540433925041,0.989049065972142,pretrained_embeddings_spacy,50
1,precision,0.9397590361445781,0.984375,0.9692307692307691,1.0,0.9634703196347031,0.9733412013438371,0.9653894501704081,pretrained_embeddings_spacy,60
1,recall,0.886363636363636,0.732558139534883,1.0,0.636363636363636,0.850806451612903,0.813821353065539,0.850806451612903,pretrained_embeddings_spacy,60
1,f1-score,0.912280701754386,0.8400000000000001,0.9843749999999991,0.777777777777777,0.903640256959314,0.87860836988304,0.899564041572344,pretrained_embeddings_spacy,60
2,precision,1.0,0.865671641791044,1.0,1.0,0.957943925233644,0.966417910447761,0.9534610412504401,pretrained_embeddings_spacy,60
2,recall,0.8823529411764701,0.6590909090909091,1.0,0.25,0.807086614173228,0.697860962566844,0.807086614173228,pretrained_embeddings_spacy,60
2,f1-score,0.9375,0.748387096774193,1.0,0.4,0.8760683760683761,0.7714717741935481,0.863565214630429,pretrained_embeddings_spacy,60
3,precision,1.0,1.0,1.0,1.0,1.0,1.0,1.0,pretrained_embeddings_spacy,60
3,recall,0.9090909090909091,0.764705882352941,1.0,0.642857142857142,0.8725868725868721,0.829163483575248,0.8725868725868721,pretrained_embeddings_spacy,60
3,f1-score,0.9523809523809521,0.866666666666666,1.0,0.7826086956521741,0.9319587628865981,0.900414078674948,0.9283116301749841,pretrained_embeddings_spacy,60
1,precision,0.769230769230769,1.0,0.984375,1.0,0.930555555555555,0.9384014423076921,0.9141448898883371,pretrained_embeddings_spacy,70
1,recall,0.34090909090909005,0.45348837209302306,1.0,0.18181818181818102,0.540322580645161,0.494053911205073,0.540322580645161,pretrained_embeddings_spacy,70
1,f1-score,0.47244094488188904,0.624,0.9921259842519681,0.30769230769230704,0.6836734693877551,0.599064809206541,0.6497070787987731,pretrained_embeddings_spacy,70
2,precision,0.9772727272727271,0.8095238095238091,1.0,1.0,0.937931034482758,0.9466991341991341,0.9264026655758931,pretrained_embeddings_spacy,70
2,recall,0.505882352941176,0.386363636363636,0.8115942028985501,0.25,0.535433070866141,0.48846004805084003,0.535433070866141,pretrained_embeddings_spacy,70
2,f1-score,0.6666666666666661,0.523076923076923,0.896,0.4,0.681704260651629,0.621435897435897,0.6666198263678571,pretrained_embeddings_spacy,70
3,precision,1.0,1.0,1.0,1.0,1.0,1.0,1.0,pretrained_embeddings_spacy,70
3,recall,0.34090909090909005,0.29411764705882304,0.7222222222222221,0.14285714285714202,0.42084942084942,0.37502652576181905,0.42084942084942,pretrained_embeddings_spacy,70
3,f1-score,0.5084745762711861,0.45454545454545403,0.8387096774193541,0.25,0.592391304347826,0.512932427058999,0.568607039082708,pretrained_embeddings_spacy,70
1,precision,1.0,1.0,0.984375,0.9166666666666661,0.992,0.9752604166666661,0.9923345094086021,supervised_embeddings,0
1,recall,1.0,1.0,1.0,1.0,1.0,1.0,1.0,supervised_embeddings,0
1,f1-score,1.0,1.0,0.9921259842519681,0.956521739130434,0.9959839357429711,0.9871619308456001,0.9960712747512451,supervised_embeddings,0
2,precision,1.0,1.0,1.0,1.0,1.0,1.0,1.0,supervised_embeddings,0
2,recall,1.0,1.0,1.0,1.0,1.0,1.0,1.0,supervised_embeddings,0
2,f1-score,1.0,1.0,1.0,1.0,1.0,1.0,1.0,supervised_embeddings,0
3,precision,1.0,1.0,1.0,1.0,1.0,1.0,1.0,supervised_embeddings,0
3,recall,1.0,1.0,1.0,1.0,1.0,1.0,1.0,supervised_embeddings,0
3,f1-score,1.0,1.0,1.0,1.0,1.0,1.0,1.0,supervised_embeddings,0
1,precision,1.0,1.0,0.984375,0.9166666666666661,0.992,0.9752604166666661,0.9923345094086021,supervised_embeddings,10
1,recall,1.0,1.0,1.0,1.0,1.0,1.0,1.0,supervised_embeddings,10
1,f1-score,1.0,1.0,0.9921259842519681,0.956521739130434,0.9959839357429711,0.9871619308456001,0.9960712747512451,supervised_embeddings,10
2,precision,1.0,1.0,1.0,1.0,1.0,1.0,1.0,supervised_embeddings,10
2,recall,1.0,1.0,1.0,1.0,1.0,1.0,1.0,supervised_embeddings,10
2,f1-score,1.0,1.0,1.0,1.0,1.0,1.0,1.0,supervised_embeddings,10
3,precision,1.0,1.0,1.0,1.0,1.0,1.0,1.0,supervised_embeddings,10
3,recall,1.0,1.0,1.0,1.0,1.0,1.0,1.0,supervised_embeddings,10
3,f1-score,1.0,1.0,1.0,1.0,1.0,1.0,1.0,supervised_embeddings,10
1,precision,1.0,1.0,0.984375,0.9166666666666661,0.992,0.9752604166666661,0.9923345094086021,supervised_embeddings,20
1,recall,1.0,1.0,1.0,1.0,1.0,1.0,1.0,supervised_embeddings,20
1,f1-score,1.0,1.0,0.9921259842519681,0.956521739130434,0.9959839357429711,0.9871619308456001,0.9960712747512451,supervised_embeddings,20
2,precision,1.0,1.0,1.0,1.0,1.0,1.0,1.0,supervised_embeddings,20
2,recall,1.0,1.0,1.0,1.0,1.0,1.0,1.0,supervised_embeddings,20
2,f1-score,1.0,1.0,1.0,1.0,1.0,1.0,1.0,supervised_embeddings,20
3,precision,1.0,1.0,1.0,1.0,1.0,1.0,1.0,supervised_embeddings,20
3,recall,1.0,1.0,1.0,1.0,1.0,1.0,1.0,supervised_embeddings,20
3,f1-score,1.0,1.0,1.0,1.0,1.0,1.0,1.0,supervised_embeddings,20
1,precision,1.0,1.0,0.954545454545454,1.0,0.98804780876494,0.9886363636363631,0.988453079178885,supervised_embeddings,30
1,recall,1.0,1.0,1.0,1.0,1.0,1.0,1.0,supervised_embeddings,30
1,f1-score,1.0,1.0,0.976744186046511,1.0,0.993987975951903,0.9941860465116271,0.9940922730682671,supervised_embeddings,30
2,precision,1.0,1.0,1.0,1.0,1.0,1.0,1.0,supervised_embeddings,30
2,recall,1.0,1.0,1.0,1.0,1.0,1.0,1.0,supervised_embeddings,30
2,f1-score,1.0,1.0,1.0,1.0,1.0,1.0,1.0,supervised_embeddings,30
3,precision,1.0,1.0,1.0,1.0,1.0,1.0,1.0,supervised_embeddings,30
3,recall,1.0,1.0,1.0,1.0,1.0,1.0,1.0,supervised_embeddings,30
3,f1-score,1.0,1.0,1.0,1.0,1.0,1.0,1.0,supervised_embeddings,30
1,precision,0.9887640449438201,0.9882352941176471,0.954545454545454,1.0,0.9800796812749001,0.9828861984017301,0.9803864309900701,supervised_embeddings,40
1,recall,1.0,0.976744186046511,1.0,1.0,0.9919354838709671,0.9941860465116271,0.9919354838709671,supervised_embeddings,40
1,f1-score,0.9943502824858751,0.982456140350877,0.976744186046511,1.0,0.9859719438877751,0.988387652220816,0.9860037768139621,supervised_embeddings,40
2,precision,1.0,1.0,1.0,1.0,1.0,1.0,1.0,supervised_embeddings,40
2,recall,1.0,1.0,1.0,0.75,0.9881889763779521,0.9375,0.9881889763779521,supervised_embeddings,40
2,f1-score,1.0,1.0,1.0,0.8571428571428571,0.994059405940594,0.9642857142857141,0.9932508436445441,supervised_embeddings,40
3,precision,1.0,1.0,1.0,1.0,1.0,1.0,1.0,supervised_embeddings,40
3,recall,1.0,1.0,1.0,0.785714285714285,0.9884169884169881,0.9464285714285711,0.9884169884169881,supervised_embeddings,40
3,f1-score,1.0,1.0,1.0,0.88,0.994174757281553,0.97,0.993513513513513,supervised_embeddings,40
1,precision,0.9887640449438201,1.0,0.954545454545454,1.0,0.983870967741935,0.9858273748723181,0.984466127384757,supervised_embeddings,50
1,recall,1.0,0.9534883720930231,1.0,1.0,0.983870967741935,0.9883720930232551,0.983870967741935,supervised_embeddings,50
1,f1-score,0.9943502824858751,0.976190476190476,0.976744186046511,1.0,0.983870967741935,0.986821236180715,0.983831006177694,supervised_embeddings,50
2,precision,1.0,0.9540229885057471,1.0,1.0,0.9838056680161941,0.9885057471264361,0.9840709566476601,supervised_embeddings,50
2,recall,0.9647058823529411,0.9431818181818181,1.0,0.75,0.9566929133858261,0.914471925133689,0.9566929133858261,supervised_embeddings,50
2,f1-score,0.9820359281437121,0.9485714285714281,1.0,0.8571428571428571,0.9700598802395201,0.946937553464499,0.9694214720165961,supervised_embeddings,50
3,precision,1.0,1.0,1.0,1.0,1.0,1.0,1.0,supervised_embeddings,50
3,recall,1.0,0.9882352941176471,1.0,0.7142857142857141,0.9806949806949801,0.92563025210084,0.9806949806949801,supervised_embeddings,50
3,f1-score,1.0,0.994082840236686,1.0,0.833333333333333,0.990253411306042,0.9568540433925041,0.989049065972142,supervised_embeddings,50
1,precision,0.9397590361445781,0.984375,0.9692307692307691,1.0,0.9634703196347031,0.9733412013438371,0.9653894501704081,supervised_embeddings,60
1,recall,0.886363636363636,0.732558139534883,1.0,0.636363636363636,0.850806451612903,0.813821353065539,0.850806451612903,supervised_embeddings,60
1,f1-score,0.912280701754386,0.8400000000000001,0.9843749999999991,0.777777777777777,0.903640256959314,0.87860836988304,0.899564041572344,supervised_embeddings,60
2,precision,1.0,0.865671641791044,1.0,1.0,0.957943925233644,0.966417910447761,0.9534610412504401,supervised_embeddings,60
2,recall,0.8823529411764701,0.6590909090909091,1.0,0.25,0.807086614173228,0.697860962566844,0.807086614173228,supervised_embeddings,60
2,f1-score,0.9375,0.748387096774193,1.0,0.4,0.8760683760683761,0.7714717741935481,0.863565214630429,supervised_embeddings,60
3,precision,1.0,1.0,1.0,1.0,1.0,1.0,1.0,supervised_embeddings,60
3,recall,0.9090909090909091,0.764705882352941,1.0,0.642857142857142,0.8725868725868721,0.829163483575248,0.8725868725868721,supervised_embeddings,60
3,f1-score,0.9523809523809521,0.866666666666666,1.0,0.7826086956521741,0.9319587628865981,0.900414078674948,0.9283116301749841,supervised_embeddings,60
1,precision,0.769230769230769,1.0,0.984375,1.0,0.930555555555555,0.9384014423076921,0.9141448898883371,supervised_embeddings,70
1,recall,0.34090909090909005,0.45348837209302306,1.0,0.18181818181818102,0.540322580645161,0.494053911205073,0.540322580645161,supervised_embeddings,70
1,f1-score,0.47244094488188904,0.624,0.9921259842519681,0.30769230769230704,0.6836734693877551,0.599064809206541,0.6497070787987731,supervised_embeddings,70
2,precision,0.9772727272727271,0.8095238095238091,1.0,1.0,0.937931034482758,0.9466991341991341,0.9264026655758931,supervised_embeddings,70
2,recall,0.505882352941176,0.386363636363636,0.8115942028985501,0.25,0.535433070866141,0.48846004805084003,0.535433070866141,supervised_embeddings,70
2,f1-score,0.6666666666666661,0.523076923076923,0.896,0.4,0.681704260651629,0.621435897435897,0.6666198263678571,supervised_embeddings,70
3,precision,1.0,1.0,1.0,1.0,1.0,1.0,1.0,supervised_embeddings,70
3,recall,0.34090909090909005,0.28235294117647003,0.7222222222222221,0.14285714285714202,0.41698841698841704,0.37208534929123105,0.41698841698841704,supervised_embeddings,70
3,f1-score,0.5084745762711861,0.440366972477064,0.8387096774193541,0.25,0.5885558583106261,0.5093878065419011,0.563953869291924,supervised_embeddings,70
